"id","score","willingness","ability","evaed"
21301000,39,19,15,0
21301001,81,21,15,0
21301002,6,20,16,1
21301003,77,23,16,1
21301004,40,31,17,1
21301005,76,22,17,1
21301006,6,35,18,1
21301007,94,23,18,1
21301008,3,64,19,0
21301009,72,30,19,1
21301010,14,67,19,0
21301011,99,35,19,1
21301012,15,58,20,1
21301013,77,24,20,1
21301014,13,37,20,0
21301015,79,22,20,0
21301016,35,35,21,1
21301017,66,20,21,0
21301018,29,52,23,0
21301019,98,35,23,1
21301020,35,35,24,0
21301021,73,25,24,0
21301022,5,46,25,1
21301023,73,31,25,0
21301024,14,54,28,1
21301025,82,29,28,0
21301026,32,45,28,1
21301027,61,35,28,0
21301028,31,40,29,1
21301029,87,23,29,1
21301030,4,60,30,0
21301031,73,21,30,1
21301032,4,53,33,0
21301033,92,18,33,0
21301034,14,49,33,1
21301035,81,21,33,1
21301036,17,42,34,1
21301037,73,30,34,1
21301038,26,36,37,1
21301039,75,20,37,1
21301040,35,65,38,1
21301041,92,24,38,0
21301042,36,48,39,0
21301043,61,31,39,1
21301044,28,49,39,1
21301045,65,24,39,1
21301046,55,50,40,1
21301047,47,27,40,1
21301048,42,29,40,1
21301049,42,31,40,1
21301050,52,49,42,1
21301051,60,33,42,0
21301052,54,31,43,1
21301053,60,59,43,0
21301054,45,50,43,1
21301055,41,47,43,0
21301056,50,51,44,1
21301057,46,69,44,0
21301058,51,27,46,1
21301059,46,53,46,0
21301060,56,70,46,0
21301061,55,19,46,0
21301062,52,67,47,1
21301063,59,54,47,1
21301064,51,63,48,0
21301065,59,18,48,0
21301066,50,43,48,1
21301067,48,68,48,1
21301068,59,19,48,0
21301069,47,32,48,1
21301070,55,70,49,0
21301071,42,47,49,1
21301072,49,60,50,1
21301073,56,60,50,1
21301074,47,59,54,0
21301075,54,26,54,0
21301076,53,45,54,1
21301077,48,40,54,0
21301078,52,23,54,1
21301079,42,49,54,1
21301080,51,57,54,0
21301081,55,38,54,0
21301082,41,67,54,0
21301083,44,46,54,1
21301084,57,21,54,1
21301085,46,48,54,0
21301086,58,55,57,1
21301087,55,22,57,1
21301088,60,34,58,1
21301089,46,50,58,1
21301090,55,68,59,1
21301091,41,18,59,0
21301092,49,48,60,0
21301093,40,40,60,1
21301094,42,32,60,1
21301095,52,24,60,0
21301096,47,47,60,1
21301097,50,27,60,1
21301098,42,48,61,0
21301099,49,20,61,0
21301100,41,23,62,1
21301101,48,49,62,1
21301102,59,67,62,0
21301103,55,26,62,0
21301104,56,49,62,0
21301105,42,21,62,1
21301106,50,66,63,1
21301107,46,54,63,0
21301108,43,68,63,0
21301109,48,66,63,0
21301110,52,65,63,0
21301111,54,19,63,1
21301112,42,38,64,1
21301113,46,19,64,0
21301114,48,18,65,1
21301115,50,19,65,1
21301116,43,63,65,1
21301117,59,49,65,1
21301118,43,51,67,1
21301119,57,50,67,1
21301120,56,27,67,0
21301121,40,38,67,1
21301122,58,40,69,1
21301123,91,39,69,0
21301124,29,23,70,1
21301125,77,31,70,1
21301126,35,43,71,0
21301127,95,40,71,0
21301128,11,59,71,0
21301129,75,38,71,0
21301130,9,47,71,0
21301131,75,39,71,0
21301132,34,25,72,1
21301133,71,31,72,1
21301134,5,20,73,0
21301135,88,29,73,1
21301136,7,44,73,1
21301137,73,32,73,0
21301138,10,19,74,0
21301139,72,35,74,1
21301140,5,57,75,1
21301141,93,32,75,0
21301142,40,28,76,1
21301143,87,32,76,1
21301144,12,25,77,0
21301145,97,28,77,0
21301146,36,48,77,0
21301147,74,32,77,1
21301148,22,34,78,1
21301149,90,34,78,0
21301150,17,43,78,0
21301151,88,39,78,0
21301152,20,44,78,1
21301153,76,38,78,1
21301154,16,47,78,1
21301155,89,27,78,1
21301156,1,37,78,0
21301157,78,30,78,1
21301158,1,34,78,0
21301159,73,30,78,1
21301160,35,56,79,1
21301161,83,29,79,1
21301162,5,19,81,0
21301163,93,31,81,1
21301164,26,50,85,0
21301165,75,36,85,1
21301166,20,42,86,0
21301167,95,33,86,1
21301168,27,36,87,1
21301169,63,32,87,0
21301170,13,40,87,0
21301171,75,28,87,0
21301172,10,36,87,0
21301173,92,36,87,0
21301174,13,52,88,1
21301175,86,30,88,1
21301176,15,58,88,0
21301177,69,27,88,0
21301178,14,59,93,0
21301179,90,35,93,0
21301180,32,37,97,1
21301181,86,32,97,1
21301182,15,46,98,0
21301183,88,29,98,1
21301184,39,41,99,1
21301185,97,30,99,0
21301186,24,54,101,1
21301187,68,28,101,0
21301188,17,41,103,1
21301189,85,36,103,1
21301190,23,34,103,1
21301191,69,32,103,1
21301192,8,33,113,0
21301193,91,38,113,1
21301194,16,47,120,1
21301195,79,35,120,1
21301196,28,45,126,1
21301197,74,32,126,0
21301198,18,32,137,0
21301199,83,30,137,0
